name,rate,votes,location,online_order,book_table,general_sentiment,food_sentiment,service_sentiment,place_sentiment,date_column
Caf-Eleven,4.0/5,424,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
San Churro Cafe,3.8/5,918,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Cafe Vivacity,3.8/5,90,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Catch-up-ino,3.9/5,133,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Kirthi's Biryani,3.8/5,144,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
T3H Cafe,3.9/5,93,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
360 Atoms Restaurant And Cafe,3.1/5,13,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
The Vintage Cafe,3.0/5,62,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Woodee Pizza,3.7/5,180,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Cafe Coffee Day,3.6/5,28,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
My Tea House,3.6/5,62,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Hide Out Cafe,3.7/5,31,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
CAFE NOVA,3.2/5,11,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Coffee Tindi,3.8/5,75,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Sea Green Cafe,3.3/5,4,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Cuppa,3.3/5,23,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Srinathji's Cafe,3.8/5,148,Basavanagudi,No,No,Positive,Neutral,Neutral,Neutral,
Redberrys,4.0/5,219,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Foodiction,2.8/5,506,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  not that much worth'), ('Rated 1.0'," """"RATED\n  Not good and gravy not sufficient really it's bad"""")", 'RATED\n  it was not worth the money'), ('Rated 2.0', 'RATED\n  Delay in delivery'),Negative,Neutral,Neutral,Neutral,
Sweet Truth,3.9/5,35,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Ovenstory Pizza,3.9/5,172,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Faasos,4.2/5,415,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
 Will Recommend To Everyone.\n\nCheers!!'), ('Rated 5.0', 'RATED\n  The Navaratri special thali of faasos is amazing. It was really tasty. The thalli included paneer, potato, ('Rated 5.0', 'RATED\n  This was my second time trying faasos lunch box and the experience was just perfect. Actually this time i ordered a Navratra special thali and it was just perfect in taste and the quantity of box was also enough for 1 person. I love the faasos lunch box..it is the best lunch box available in the market.\nThe delivery was also very fast.'),Negative,Neutral,Neutral,Neutral,
Behrouz Biryani,3.9/5,230,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Fast And Fresh,2.8/5,91,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Szechuan Dragon,4.2/5,1647,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Empire Restaurant,4.4/5,4884,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  We enjoyed our dinner, always a good experience, good support from staff. Try their kabab')," """"RATED\n  The food was good and the ambience was quite impressive too. The service also was up to the mark", grilled chicken was good, with tandoori roti good combination,Negative,Neutral,Neutral,Neutral,
Maruthi Davangere Benne Dosa,4.0/5,17,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Chaatimes,3.8/5,133,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Havyaka Mess,3.9/5,28,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
McDonald's,3.9/5,286,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Domino's Pizza,3.9/5,540,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Onesta,4.6/5,2556,Banashankari,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 and the crust was made amazing also so was the pizza.\nThe service is really good and the place is clean also. All in all wonderful place and another great restaurant part of the franchise.'), a mocktail and did i just hear unlimited desserts?!\nGoodbye midweek blues!!!?\n\nI would specially mention the staff here-Chaitanya,Arup and Binita serving us, never have i had such an experience.\nWhat really makes your food enjoyable is just not the taste but how the person served you!\n\nTop notch guys!!\nComing back for more-offer or no offer ! ?'), ('Rated 4.0', 'RATED\n  Loved the foodie experience here!!!!!! Came here for the name of the week offer and trust me I was disappointed. This whole place has such a good ambience that u l love it instantly.\nCrazy Bangalore rain and Fresh piping hot pizza and the night is sorted!\nUnlimited pizzas,Positive,Neutral,Neutral,Positive,
Hotboxit,3.8/5,36,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Kitchen Garden,3.6/5,244,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Recipe,4.0/5,804,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Beijing Bites,3.7/5,679,Rajarajeshwari Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Tasty Bytes,3.1/5,245,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Petoo,3.7/5,21,Banashankari,No,No,Positive,Positive,Neutral,Positive,
Shree Cool Point,4.1/5,28,Vijay Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Corner House Ice Cream,4.3/5,345,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Biryanis And More,4.0/5,618,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Roving Feast,4.0/5,1047,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
FreshMenu,3.9/5,627,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Banashankari Donne Biriyani,3.8/5,104,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Wamama,4.2/5,354,Banashankari,Yes,Yes,Positive,Neutral,Neutral,Neutral,
 ('Rated 4.0', 'RATED\n  First thing about this place is.. PAN Asian cuisine.. there are hardly any place which serves sushi etc in this part of Bangalore.. you can park your vehicle at BDA Complex parking.. and enjoy your evening peacefully.. ambiance is nice... food is delicious..\nwe tried veg dim sum platter, seafood sushi platter, yakisoba (buckwheat noodles), 'RATED\n  Love the ambience! This is the place to go if youÃÂ\x83ÃÂ\x83ÃÂ\x82ÃÂ\x82ÃÂ\x83ÃÂ\x82ÃÂ\x82ÃÂ\x92re looking for authentic oriental food. They have special breakfast menu which is worth a try for everyone! And they make amazing cocktails :)'), ('Rated 4.0',Negative,Neutral,Neutral,Neutral,
Five Star Chicken,3.6/5,55,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
XO Belgian Waffle,3.7/5,17,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Peppy Peppers,4.2/5,244,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
 this was amazing, ('Rated 4.0'," """"RATED\n  PEPPY PEPPERS is a unit of jalsa banashankri. They have the best thin crust wood fired pizza. The ambience is good with full of white tables and chairs. The staff is friendly and quick at service.\nComing to food we tried peppy pepper fries large"," taste was just amazing and the crust was perfect later we ordered for peppy panner pizza where the taste was good but the crust was watery where we couldn't take and hold it in our hands.\nFully not satisfied nor fully not disappointed."""")", loved it, the flavor of both the paneer tikka and biriyani were very good.\n\nService was good too.\n\nAmbience: 3.5/5\nService: 4/5\nFood: 3/5\nPrice: 4/5\n\nMust try: paneer tikka biriyani'),Negative,Neutral,Neutral,Neutral,
Goa 0 Km,3.6/5,163,Kumaraswamy Layout,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Chinese Kitchen,3.8/5,58,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
1947,4.0/5,808,Banashankari,No,Yes,Positive,Neutral,Neutral,Neutral,
Cake of the Day,3.7/5,78,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Kabab Magic,4.1/5,1720,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Namma Brahmin's Idli,3.6/5,34,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Gustoes Beer House,4.1/5,868,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Sugar Rush,3.8/5,39,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Burger King,3.2/5,71,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
The Good Bowl,3.6/5,6,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
The Biryani Cafe,4.1/5,520,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Spicy Tandoor,NEW,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
LSD Cafe,2.9/5,84,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
 'RATED\n  Best Delivery Restaurants that serve late at night. Ordered #ChickenChanghezi and the quantity was sufficient for two person. It was delivered before time and it was absolute yummy. Will order again soon.. Pretty Soon')," chicken chengezi and assorted breads. I was absolutely surprised at the quality of food at this point of day. I'd definitely recommend it to all my friends."""")", ('Rated 5.0', even Better Service in the middle of night #LSD Great Work. Best option for the night owls\nPS. Love the Pasta and garlic bread combo.'), ('Rated 5.0'," """"RATED\n  Life saver at night!\nI woke up at 2 PM last time and decided to try out this interestingly named place. Ordered a kit kat shake",Negative,Neutral,Neutral,Neutral,
Rolls On Wheels,3.6/5,299,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Om Sri Vinayaka Chats,NEW,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Sri Guru Kottureshwara Davangere Benne Dosa,4.1/5,558,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Devanna Dum Biriyani Centre,3.6/5,28,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Kolbeh,3.7/5,22,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Upahar Sagar,3.8/5,39,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Kadalu Sea Food Restaurant,3.8/5,153,Vijay Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Frozen Bottle,4.2/5,146,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Parimala Sweets,3.5/5,14,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Vaishali Deluxe,3.8/5,42,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Chill Out,Not Rated,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
The Big O Bakes,4.0/5,66,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Meghana Foods,4.4/5,4401,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Krishna Sagar,3.5/5,31,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Dessert Rose,3.5/5,7,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Chickpet Donne Biryani House,3.7/5,21,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Me And My Cake,Not Rated,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Sunsadm,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Annapooraneshwari Mess,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Thanco's Natural Ice Creams,3.2/5,9,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Nandhini Deluxe,2.6/5,283,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Vi Ra's Bar and Restaurant,3.3/5,62,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Kaggis,3.8/5,64,Banashankari,No,No,Positive,Neutral,Neutral,Positive,
Ayda Persian Kitchen,3.7/5,39,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Chatar Patar,3.7/5,65,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Polar Bear,3.8/5,71,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Kidambi's Kitchen,3.5/5,52,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Mane Thindi,3.7/5,130,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Kotian Karavali Restaurant,3.5/5,10,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Floured-Baked With Love,3.8 /5,45,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
CAFE NOVA,3.2/5,11,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Cakes & Slices,3.5/5,13,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Spice 9,3.4/5,8,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Coffee Shopee,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Naveen Kabab & Biriyani Mane,3.2/5,9,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Katriguppe Donne Biryani,3.2/5,4,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Hari Super Sandwich,NEW,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Atithi Point Ande Ka Funda,3.1/5,29,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Just Bake,3.4/5,8,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Dharwad Line Bazaar Mishra Pedha,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Cake Bite,Not Rated,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Aarush's Food Plaza,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Wood Stove,Not Rated,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Kulfi & More,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Kannadigas Karavali,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
K27 - The Pub,3.1/5,30,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Bengaluru Coffee House,4.1/5,201,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
New Mangalore Lunch Home,3.3/5,7,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Coffee Bytes,3.1/5,6,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Parjanya Chat Zone,3.3/5,17,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Kwality Wall's Swirl's Happiness Station,2.9/5,25,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Soms Kitchen & Bakes,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Banashankari Nati Style,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Ruchi Maayaka,3.3/5,8,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Mohitesh Hut Roll,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Sri Basaveshwar Jolada Rotti Oota,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Roll Magic Fast Food,NEW,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Foodlieious Multi Cuisine,NEW,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Thanishka Nati And Karavali Style,NEW,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Swathi Cool Point,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Kaumudis Juoice,Not Rated,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Amma - Manae,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Sri Sai Tiffannies,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Hotel Andhra Speices,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Sri Murari Family Restaurant,Not Rated,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Aramane Donne Biriyani,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Darkolates,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Swaada Healthy Kitchen,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Gawdaru Mane Beriyani,Not Rated,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Melting Melodies,NEW,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
New Indraprasta,NEW,0,Banashankari,No,No,Negative,Neutral,Neutral,Neutral,
Anna Kuteera,4.0/5,771,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Darbar,3.0/5,98,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Vijayalakshmi,3.9/5,47,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Sri Udupi Food Hub,4.1/5,175,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Udupi Upahar,3.8/5,58,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
House Of Kebabs,3.8/5,540,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Roll N Rock,3.8/5,124,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
BOX8- Desi Meals,4.1/5,340,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
KFC,3.8/5,505,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Bitez,NEW,0,Banashankari,No,No,Positive,Neutral,Neutral,Neutral,
Roll Over,4.1/5,438,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Imperial Restaurant,3.7/5,264,Mysore Road,Yes,No,Positive,Neutral,Neutral,Neutral,
Lassi Shop,3.9/5,169,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
The Fortuna,3.0/5,67,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Wahab,3.7/5,97,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Al Diwan Biryanis And More,3.3/5,12,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
New Gowda's Fried Chicken,3.3/5,12,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Canton,3.6/5,195,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Diabetics Dezire Sugarless Sweets and Bakes,3.3/5,13,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
The Blue Wagon - Kitchen,4.6/5,228,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
HOT COFFEE,4.1/5,70,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Patio 805,4.1/5,364,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Lassi Corner,3.7/5,107,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Sagar Deluxe,3.2/5,167,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Kanti Sweets,4.0/5,115,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Vegetalia,3.7/5,27,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Aramane Donne Biryani,3.5/5,57,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Ande Ka Funda,3.8/5,120,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Cake Ghar,3.8/5,15,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Energy Addaa,4.2/5,64,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Bhattara Bhojana,3.6/5,66,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Tandoori Knight,3.0/5,290,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Dev Sagar - Food Street,4.1/5,233,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Mitraa Da Pizza,3.8/5,115,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Paradise Premium,3.1/5,119,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Grazers,3.9/5,291,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Shakes Theory,4.5/5,155,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
@Italy,4.1/5,305,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Chilli Flakes,3.6/5,46,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Calcutta Cafe,3.5/5,45,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Old Mumbai Ice Cream,3.9/5,38,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Donne Biriyani House,3.9/5,441,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
By 2 Coffee,3.9/5,25,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Kedia's Fun Food,4.3/5,630,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Davangere Butter Dosa Hotel,3.8/5,25,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Just Shawarma,3.9/5,160,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Mini Punjabi Dhaba,4.2/5,287,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Mulabagilu Dosa,3.6/5,11,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,4.1/5,402,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Gokul Veg,3.8/5,469,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Olive - Era,3.3/5,511,Kumaraswamy Layout,Yes,No,Negative,Neutral,Neutral,Neutral,
Udupi Ruchi,3.9/5,57,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Madhappa Hindu Military Hotel,3.4/5,14,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Gama Gama,3.9/5,264,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
The Vintage Cafe,3.0/5,62,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Pizza Hut,3.8/5,693,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Mangalore Pearl,3.8/5,242,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Asha Sweets Centre,3.6/5,27,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Twiststick House,4.1/5,163,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Cool Corner,4.2/5,191,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Pizza Mane,3.5/5,32,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Dal Tadkaa,2.5/5,247,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
" """"RATED\n  The buffet is inr 330 pp all incl. But the quality is very mediocre"," you can definitely hang in domino's and get a d cheese burst full in your mouth :p"""")", ('Rated 2.5', they had a board that said spl buffet. There was nothing special about it. The usual north indian thali, so is the variety. Daal baati didn't feel like one... I could eat, but at that price range,Negative,Neutral,Neutral,Neutral,
Chutney Chang,4.1/5,2339,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Mystique Palate,4.1/5,337,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Thamboola,3.9/5,135,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Castle Rock,3.6/5,172,Uttarahalli,Yes,No,Positive,Neutral,Neutral,Neutral,
Vietnamese Kitchen,3.6/5,105,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Smacznego,4.2/5,504,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
C Corner,3.2/5,36,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Paratha Merchant,3.1/5,39,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
North Rasoe,3.1/5,5,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Inchara Restaurant,Not Rated,0,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Toscano,4.3/5,1129,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Lord Of The Kitchen,3.9/5,56,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Stoned Monkey,4.3/5,860,Banashankari,Yes,No,Positive,Neutral,Neutral,Neutral,
Central Jail Restaurant,3.8/5,412,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Bella,3.9/5,142,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Vennela Andhra Meals,3.0/5,23,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
New Prashanth Hotel,3.6/5,143,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
The Grillo,2.8/5,80,Jayanagar,Yes,Yes,Positive,Neutral,Neutral,Neutral,
Re Malnad Nati Style Hotel,3.6/5,16,JP Nagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Karma Kaapi,4.4/5,181,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Tiwari's,3.8/5,70,Jayanagar,Yes,No,Positive,Neutral,Neutral,Neutral,
Pizza Stop,3.8/5,164,Basavanagudi,Yes,No,Positive,Neutral,Neutral,Neutral,
Biggies Burger 'n' More,3.6/5,58,Kumaraswamy Layout,Yes,No,Positive,Neutral,Neutral,Neutral,
Srinathji's Cafe,3.8/5,148,Basavanagudi,No,No,Positive,Neutral,Neutral,Neutral,
Kollapuri's,3.9/5,206,Basavanagudi,No,No,Positive,Neutral,Neutral,Neutral,
